Rank,Player,G,MP,PTS,AST,STL,FG%,3P%,FT%,WS,WS/48,Share
1,Kevin Durant\duranke01,81,38.5,32,5.5,1.3,0.503,0.391,0.873,19.2,0.295,0.986
2,LeBron James\jamesle01,77,37.7,27.1,6.3,1.6,0.567,0.379,0.75,15.9,0.264,0.713
3,Blake Griffin\griffbl01,80,35.8,24.1,3.9,1.2,0.528,0.273,0.715,12.2,0.205,0.347
4,Joakim Noah\noahjo01,80,35.3,12.6,5.4,1.2,0.475,0,0.737,11.2,0.19,0.258
5,James Harden\hardeja01,73,38,25.4,6.1,1.6,0.456,0.366,0.866,12.8,0.221,0.068
6,Stephen Curry\curryst01,78,36.5,24,8.5,1.6,0.471,0.424,0.885,13.4,0.225,0.053
7,Chris Paul\paulch01,62,35,19.1,10.7,2.5,0.467,0.368,0.855,12.2,0.27,0.036
8,Al Jefferson\jeffeal01,73,35,21.8,2.1,0.9,0.509,0.2,0.69,7.8,0.146,0.027
9,Paul George\georgpa01,80,36.2,21.7,3.5,1.9,0.424,0.364,0.864,10.8,0.178,0.026
10,LaMarcus Aldridge\aldrila01,69,36.2,23.2,2.6,0.9,0.458,0.2,0.822,7.5,0.144,0.021
