Rank,Player,G,MP,PTS,AST,STL,FG%,3P%,FT%,WS,WS/48,Share
1,Russell Westbrook\westbru01,81,34.6,31.6,10.4,1.6,0.425,0.343,0.845,13.1,0.224,0.879
2,James Harden\hardeja01,81,36.4,29.1,11.2,1.5,0.44,0.347,0.847,15,0.245,0.746
3,Kawhi Leonard\leonaka01,74,33.4,25.5,3.5,1.8,0.485,0.38,0.88,13.6,0.264,0.495
4,LeBron James\jamesle01,74,37.8,26.4,8.7,1.2,0.548,0.363,0.674,12.9,0.221,0.33
5,Isaiah Thomas\thomais02,76,33.8,28.9,5.9,0.9,0.463,0.379,0.909,12.5,0.234,0.08
6,Stephen Curry\curryst01,79,33.4,25.3,6.6,1.8,0.468,0.411,0.898,12.6,0.229,0.051
7T,Giannis Antetokounmpo\antetgi01,80,35.6,22.9,5.4,1.6,0.521,0.272,0.77,12.4,0.21,0.007
7T,John Wall\walljo01,78,36.4,23.1,10.7,2,0.451,0.327,0.801,8.8,0.149,0.007
9T,Anthony Davis\davisan02,75,36.1,28,2.1,1.3,0.505,0.299,0.802,11,0.195,0.002
9T,Kevin Durant\duranke01,62,33.4,25.1,4.8,1.1,0.537,0.375,0.875,12,0.278,0.002
11,DeMar DeRozan\derozde01,74,35.4,27.3,3.9,1.1,0.467,0.266,0.842,9,0.166,0.001
