Rank,Player,G,MP,PTS,AST,STL,FG%,3P%,FT%,WS,WS/48,Share
1,Stephen Curry\curryst01,79,34.2,30.1,6.7,2.1,0.504,0.454,0.908,17.9,0.318,1
2,Kawhi Leonard\leonaka01,72,33.1,21.2,2.6,1.8,0.506,0.443,0.874,13.7,0.277,0.484
3,LeBron James\jamesle01,76,35.6,25.3,6.8,1.4,0.52,0.309,0.731,13.6,0.242,0.482
4,Russell Westbrook\westbru01,80,34.4,23.5,10.4,2,0.454,0.296,0.812,14,0.245,0.371
5,Kevin Durant\duranke01,72,35.8,28.2,5,1,0.505,0.387,0.898,14.5,0.27,0.112
6,Chris Paul\paulch01,74,32.7,19.5,10,2.1,0.462,0.371,0.896,12.7,0.253,0.082
7,Draymond Green\greendr01,81,34.7,14,7.4,1.5,0.49,0.388,0.696,11.1,0.19,0.038
8,Damian Lillard\lillada01,75,35.7,25.1,6.8,0.9,0.419,0.375,0.892,9.2,0.165,0.02
9,James Harden\hardeja01,82,38.1,29,7.5,1.7,0.439,0.359,0.86,13.3,0.204,0.007
10,Kyle Lowry\lowryky01,77,37,21.2,6.4,2.1,0.427,0.388,0.811,11.6,0.196,0.005
