Rank,Player,G,MP,PTS,AST,STL,FG%,3P%,FT%,WS,WS/48,Share
4,Kobe Bryant\bryanko01,80,41,35.4,4.5,1.8,0.45,0.347,0.85,15.3,0.224,0.386
5,Chauncey Billups\billuch01,81,36.1,18.5,8.6,0.9,0.418,0.433,0.894,15.5,0.254,0.344
6,Dwyane Wade\wadedw01,75,38.6,27.2,6.7,1.9,0.495,0.171,0.783,14.4,0.239,0.07
7,Elton Brand\brandel01,79,39.2,24.7,2.6,1,0.527,0.333,0.775,14.8,0.229,0.04
8,Tim Duncan\duncati01,80,34.8,18.6,3.2,0.9,0.484,0.4,0.629,10.8,0.187,0.026
9,Tony Parker\parketo01,80,33.9,18.9,5.8,1,0.548,0.306,0.707,9.6,0.169,0.007
10T,Allen Iverson\iversal01,72,43.1,33,7.4,1.9,0.447,0.323,0.814,10.6,0.165,0.001
10T,Shawn Marion\mariosh01,81,40.3,21.8,1.8,2,0.525,0.331,0.809,14.6,0.214,0.001
1,Dirk Nowitzki\nowitdi01,78,36.2,24.6,3.4,0.7,0.502,0.416,0.904,16.3,0.278,0.882
2,Steve Nash\nashst01,76,35.3,18.6,11.6,0.8,0.532,0.455,0.899,12.6,0.225,0.785
3,Kobe Bryant\bryanko01,77,40.8,31.6,5.4,1.4,0.463,0.344,0.868,13,0.199,0.404
4,Tim Duncan\duncati01,80,34.1,20,3.4,0.8,0.546,0.111,0.637,13,0.23,0.222
5,LeBron James\jamesle01,78,40.9,27.3,6,1.6,0.476,0.319,0.698,13.7,0.206,0.142
6,Tracy McGrady\mcgratr01,71,35.8,24.6,6.5,1.3,0.431,0.331,0.707,8.6,0.163,0.085
7,Chris Bosh\boshch01,69,38.5,22.6,2.5,0.6,0.496,0.343,0.785,9.6,0.174,0.033
8,Gilbert Arenas\arenagi01,74,39.8,28.4,6,1.9,0.418,0.351,0.844,10.8,0.177,0.024
9T,Carlos Boozer\boozeca01,74,34.6,20.9,3,0.9,0.561,0,0.685,9.9,0.185,0.005
9T,Kevin Garnett\garneke01,76,39.4,22.4,4.1,1.2,0.476,0.214,0.835,10.7,0.171,0.005
1,Kobe Bryant\bryanko01,82,38.9,28.3,5.4,1.8,0.459,0.361,0.84,13.8,0.208,0.873
2,Chris Paul\paulch01,80,37.6,21.1,11.6,2.7,0.488,0.369,0.851,17.8,0.284,0.71
3,Kevin Garnett\garneke01,71,32.8,18.8,3.4,1.4,0.539,0,0.801,12.9,0.265,0.532
4,LeBron James\jamesle01,75,40.4,30,7.2,1.8,0.484,0.315,0.712,15.2,0.242,0.348
5,Dwight Howard\howardw01,82,37.7,20.7,1.3,0.9,0.599,0,0.59,12.9,0.2,0.048
6,Amar'e Stoudemire\stoudam01,79,33.9,25.2,1.5,0.8,0.59,0.161,0.805,14.6,0.262,0.021
7,Tim Duncan\duncati01,78,34,19.3,2.8,0.7,0.497,0,0.73,11.1,0.201,0.02
8,Tracy McGrady\mcgratr01,66,37,21.6,5.9,1,0.419,0.292,0.684,5.8,0.115,0.015
9,Steve Nash\nashst01,81,34.3,16.9,11.1,0.7,0.504,0.47,0.906,10.5,0.181,0.014
10,Manu Ginobili\ginobma01,74,31.1,19.5,4.5,1.5,0.46,0.401,0.86,11.1,0.232,0.007
1,LeBron James\jamesle01,81,37.7,28.4,7.2,1.7,0.489,0.344,0.78,20.3,0.318,0.969
2,Kobe Bryant\bryanko01,82,36.1,26.8,4.9,1.5,0.467,0.351,0.856,12.7,0.206,0.577
3,Dwyane Wade\wadedw01,79,38.6,30.2,7.5,2.2,0.491,0.317,0.765,14.7,0.232,0.562
4,Dwight Howard\howardw01,79,35.7,20.6,1.4,1,0.572,0,0.594,13.8,0.234,0.271
5,Chris Paul\paulch01,78,38.5,22.8,11,2.8,0.503,0.364,0.868,18.3,0.292,0.159
6,Chauncey Billups\billuch01,79,35.3,17.7,6.4,1.2,0.418,0.408,0.913,10.1,0.174,0.027
7,Paul Pierce\piercpa01,81,37.5,20.5,3.6,1,0.457,0.391,0.83,10.3,0.164,0.017
8,Tony Parker\parketo01,72,34.1,22,6.9,0.9,0.506,0.292,0.782,8.6,0.168,0.007
9,Brandon Roy\roybr01,78,37.2,22.6,5.1,1.1,0.48,0.377,0.824,13.5,0.223,0.006
10,Dirk Nowitzki\nowitdi01,81,37.7,25.9,2.4,0.8,0.479,0.359,0.89,10.9,0.171,0.002
1,LeBron James\jamesle01,76,39,29.7,8.6,1.6,0.503,0.333,0.767,18.5,0.299,0.98
2,Kevin Durant\duranke01,82,39.5,30.1,2.8,1.4,0.476,0.365,0.9,16.1,0.238,0.495
3,Kobe Bryant\bryanko01,73,38.8,27,5,1.5,0.456,0.329,0.811,9.4,0.16,0.487
4,Dwight Howard\howardw01,82,34.7,18.3,1.8,0.9,0.612,0,0.592,13.2,0.223,0.389
5,Dwyane Wade\wadedw01,77,36.3,26.6,6.5,1.8,0.476,0.3,0.761,13,0.224,0.097
6,Carmelo Anthony\anthoca01,69,38.2,28.2,3.2,1.3,0.458,0.316,0.83,7.9,0.145,0.053
7,Dirk Nowitzki\nowitdi01,81,37.5,25,2.7,0.9,0.481,0.421,0.915,12.3,0.194,0.045
8,Steve Nash\nashst01,81,32.8,16.5,11,0.5,0.507,0.426,0.938,9.9,0.178,0.04
